# Y-M-D   T H:M:S     ObsNum ObsGoal       ObgPgm    SourceName                ProjectId                 RestFreq  VLSR   TINT     RA        DEC          AZ    EL
2022-05-27T00:39:18   100396  Pointing     Map       1327+221                  2021-S1-MX-26                  RSR      0     100.0  201.753589  22.180601  281.5  61.6
2022-05-27T00:42:57   100397  Calibration  Cal       IRAS13349+2438            2021-S1-MX-26                  RSR      0      26.0  204.328042  24.384272  286.4  63.2
2022-05-27T00:43:58   100398  Science      Bs        IRAS13349+2438            2021-S1-MX-26                  RSR      0     362.6  204.328042  24.384272  286.4  62.8
2022-05-27T00:50:14   100399  Science      Bs        IRAS13349+2438            2021-S1-MX-26                  RSR      0     362.3  204.328042  24.384272  286.1  61.4
2022-05-27T00:56:30   100400  Science      Bs        IRAS13349+2438            2021-S1-MX-26                  RSR      0     361.8  204.328042  24.384272  285.9  59.9
2022-05-27T01:02:53   100401  Calibration  Cal       IRAS13349+2438            2021-S1-MX-26                  RSR      0      22.6  204.328042  24.384272  285.7  58.5
2022-05-27T01:03:50   100402  Science      Bs        IRAS13349+2438            2021-S1-MX-26                  RSR      0     362.2  204.328042  24.384272  285.7  58.3
2022-05-27T01:10:06   100403  Science      Bs        IRAS13349+2438            2021-S1-MX-26                  RSR      0     365.3  204.328042  24.384272  285.6  56.8
2022-05-27T01:16:22   100404  Science      Bs        IRAS13349+2438            2021-S1-MX-26                  RSR      0     360.1  204.328042  24.384272  285.5  55.4
2022-05-27T01:22:45   100405  Calibration  Cal       IRAS13349+2438            2021-S1-MX-26                  RSR      0      22.5  204.328042  24.384272  285.4  53.9
2022-05-27T01:23:42   100406  Science      Bs        IRAS13349+2438            2021-S1-MX-26                  RSR      0     369.0  204.328042  24.384272  285.4  53.7
2022-05-27T01:29:59   100407  Science      Bs        IRAS13349+2438            2021-S1-MX-26                  RSR      0     366.3  204.328042  24.384272  285.4  52.3
2022-05-27T01:36:15   100408  Science      Bs        IRAS13349+2438            2021-S1-MX-26                  RSR      0     359.9  204.328042  24.384272  285.4  50.9
2022-05-27T01:42:35   100409  Pointing     Map       1327+221                  2021-S1-MX-26                  RSR      0      95.8  201.753589  22.180601  282.3  46.9
2022-05-27T02:56:53   100429  Pointing     Map       1416+347                  2021-S1-MX-26                  RSR      0     100.4  214.017443  34.743452  299.9  41.2
2022-05-27T03:01:07   100430  Calibration  Cal       PG_1448+273               2021-S1-MX-26                  RSR      0      22.9  222.786500  27.157478  289.7  48.6
2022-05-27T03:02:05   100431  Science      Bs        PG_1448+273               2021-S1-MX-26                  RSR      0     369.0  222.786500  27.157478  289.7  48.1
2022-05-27T03:08:27   100432  Science      Bs        PG_1448+273               2021-S1-MX-26                  RSR      0     366.3  222.786500  27.157478  289.7  46.7
2022-05-27T03:14:47   100433  Science      Bs        PG_1448+273               2021-S1-MX-26                  RSR      0     364.7  222.786500  27.157478  289.7  45.2
2022-05-27T03:21:17   100434  Calibration  Cal       PG_1448+273               2021-S1-MX-26                  RSR      0      27.5  222.786500  27.157478  289.7  43.8
2022-05-27T03:22:20   100435  Science      Bs        PG_1448+273               2021-S1-MX-26                  RSR      0     375.0  222.786500  27.157478  289.7  43.5
2022-05-27T03:28:43   100436  Science      Bs        PG_1448+273               2021-S1-MX-26                  RSR      0     360.5  222.786500  27.157478  289.7  42.1
2022-05-27T03:34:57   100437  Science      Bs        PG_1448+273               2021-S1-MX-26                  RSR      0     362.7  222.786500  27.157478  289.8  40.7
2022-05-27T03:41:22   100438  Calibration  Cal       PG_1448+273               2021-S1-MX-26                  RSR      0      21.8  222.786500  27.157478  289.9  39.3
2022-05-27T03:42:18   100439  Science      Bs        PG_1448+273               2021-S1-MX-26                  RSR      0     366.9  222.786500  27.157478  289.9  39.1
2022-05-27T03:48:38   100440  Science      Bs        PG_1448+273               2021-S1-MX-26                  RSR      0     364.4  222.786500  27.157478  290.0  37.7
2022-05-27T03:54:54   100441  Science      Bs        PG_1448+273               2021-S1-MX-26                  RSR      0     364.1  222.786500  27.157478  290.1  36.3
2022-05-27T04:01:16   100442  Pointing     Map       1416+347                  2021-S1-MX-26                  RSR      0     104.2  214.017443  34.743452  299.9  27.9

